STATION,LATITUDE,LONGITUDE,ZIP_Code
californiaave&23rdpl,41.84911,-87.69514,60623
millardave&26thst,41.844567,-87.71591,60623
albanyave&26thst,41.844475,-87.702013,60623
eberhartave&61stst,41.784142,-87.613308,60637
michiganave&washingtonst,41.883984,-87.624684,60602
clarkst&luntave,42.009074,-87.67419,60645
kedzieave&harrisonst,41.8736,-87.704871,60624
ogdenave&rooseveltrd,41.866501,-87.684697,60612
kedzieave&rooseveltrd,41.866493,-87.706496,60624
glenwoodave&morseave,42.007972,-87.665502,60626
warrenparkeast,42.00455,-87.680666,60645
clarkst&columbiaave,42.004451,-87.672402,60626
warrenparkwest,42.001785,-87.688829,60645
sheridanrd&loyolaave,42.001044,-87.661198,60626
michiganave&idabwellsdr,41.876243,-87.624426,60605
westernave&granvilleave,41.994161,-87.689438,60645
californiaave&26thst,41.84404,-87.695296,60629
westernave&28thst,41.841518,-87.685131,60608
maplewoodave&petersonave,41.990236,-87.69337,60645
2112wpetersonave,41.991178,-87.683593,60659
clarkst&elmdaleave,41.990518,-87.669834,60660
broadway&thorndaleave,41.989743,-87.660141,60660
lakefronttrail&brynmawrave,41.984037,-87.65231,60660
clarkst&brynmawrave,41.983593,-87.669154,60660
broadway&ridgeave,41.984045,-87.660274,60660
wellsst&waltonst,41.89993,-87.63443,60610
winchester(ravenswood)ave&balmoralave,41.979762,-87.67753,60660
clarkst&berwynave,41.977997,-87.668047,60640
clarkst&schreiberave,41.999252,-87.671377,60626
broadway&granvilleave,41.99478,-87.660285,60660
damenave&fosterave,41.975615,-87.679459,60640
kedzieave&lelandave,41.966686,-87.708052,60625
manorave&lelandave,41.965875,-87.700825,60625
rockwellst&eastwoodave,41.9659,-87.693638,60625
drakeave&montroseave,41.961154,-87.716569,60625
albanyave&montroseave,41.961041,-87.705866,60625
californiaave&montroseave,41.961068,-87.695439,60625
campbellave&montroseave,41.961526,-87.691165,60625
avondaleave&irvingparkrd,41.953393,-87.732002,60641
monticelloave&irvingparkrd,41.954005,-87.719128,60618
sawyerave&irvingparkrd,41.953586,-87.709311,60618
oakleyave&irvingparkrd,41.954341,-87.68608,60618
californiaave&byronst,41.952162,-87.698051,60625
pulaskird&eddyst(temp),41.946264,-87.731023,60641
drakeave&addisonst,41.947326,-87.717582,60618
marinedr&ainsliest,41.9716,-87.650154,60640
ridgeblvd&touhyave,42.012132,-87.682913,60645
westernave&luntave,42.008594,-87.690492,60645
budlongwoodslibrary,41.983665,-87.696423,60659
st.louisave&balmoralave,41.980394,-87.716115,60625
kedzieave&fosterave,41.975672,-87.709261,60625
franciscoave&fosterave,41.975633,-87.701419,60659
statest&kinziest,41.889187,-87.627754,60611
lincolnave&winonast,41.974911,-87.692503,60625
christianaave&lawrenceave,41.968354,-87.711831,60625
washtenawave&lawrenceave,41.968987,-87.696027,60625
leavittst&addisonst,41.946655,-87.683359,60625
westernave&roscoest,41.943034,-87.687288,60618
troyst&elstonave,41.945244,-87.70665,60618
talmanave&addisonst,41.946636,-87.694615,60618
dearbornst&monroest,41.88132,-87.629521,60602
richmondst&diverseyave,41.931902,-87.701195,60618
clarkst&idabwellsdr,41.875933,-87.630585,60604
kedzieave&brynmawrave,41.982397,-87.708923,60659
keystoneave&montroseave,41.961108,-87.72897,60630
aversave&belmontave,41.939408,-87.723574,60618
kimballave&belmontave,41.939398,-87.711561,60618
californiaave&fletcherst,41.938429,-87.698008,60625
kosciuszkopark,41.930585,-87.723777,60647
centralparkave&elbridgeave,41.935337,-87.716889,60618
californiaave&altgeldst,41.92669,-87.697668,60625
drakeave&fullertonave,41.924399,-87.715441,60647
campbellave&fullertonave,41.924632,-87.689307,60647
winchesterave&elstonave,41.924091,-87.67646,60614
spauldingave&armitageave,41.917108,-87.710221,60647
humboldtblvd&armitageave,41.917513,-87.701809,60647
centralparkave&northave,41.909657,-87.716632,60647
troyst&northave,41.909769,-87.70528,60647
spauldingave&divisionst,41.902707,-87.70922,60647
albanyave&bloomingdaleave,41.914027,-87.705126,60647
clarkst&randolphst,41.884576,-87.63189,60696
ridgeblvd&howardst,42.019276,-87.68452,60202
paulinast&howardst,42.019159,-87.673573,60626
clarkst&jarvisave,42.015963,-87.675005,60626
conservatorydr&lakest,41.885502,-87.716866,60624
wolcottave&fargoave,42.016977,-87.677725,60626
glenwoodave&touhyave,42.012701,-87.666058,60626
oakleyave&touhyave,42.012342,-87.688243,60645
westernave&howardst,42.018901,-87.690048,60645
statest&harrisonst,41.874053,-87.627716,60605
greenviewave&jarvisave,42.015962,-87.66857,60626
michiganave&lakest,41.886024,-87.624117,60601
bosworthave&howardst,42.019537,-87.669563,60626
eastlaketer&rogersave,42.021019,-87.665086,60626
austinblvd&chicagoave,41.894887,-87.774704,60651
wellsst&huronst,41.894722,-87.634362,60654
austinblvd&lakest,41.887919,-87.774446,60302
centralparkblvd&5thave,41.875679,-87.71547,60624
karlovave&madisonst,41.88085,-87.727907,60624
pulaskird&congresspkwy,41.874325,-87.725704,60644
kostnerave&lakest,41.885928,-87.73541,60624
kentonave&madisonst,41.880708,-87.741018,60651
ciceroave&flournoyst,41.872131,-87.746619,60644
ciceroave&quincyst,41.877613,-87.745405,60644
laramieave&madisonst,41.880207,-87.755337,60644
pulaskird&lakest,41.885409,-87.726491,60624
ciceroave&lakest,41.886841,-87.745261,60644
laramieave&kinziest,41.887832,-87.755527,60644
centralave&lakest,41.887664,-87.765469,60644
centralave&harrisonst,41.872993,-87.764499,60804
ogdenave&chicagoave,41.896362,-87.654061,60642
centralave&madisonst,41.880121,-87.763238,60644
laramieave&gladysave,41.875806,-87.755285,60644
austinblvd&madisonst,41.880281,-87.774453,60644
kostnerave&adamsst,41.877917,-87.735737,60624
damenave&pershingrd,41.823192,-87.676597,60632
ashlandave&pershingrd,41.823465,-87.665577,60609
morganst&pershingrd,41.823613,-87.650931,60609
marshfieldave&44thst,41.813996,-87.666589,60609
centralave&chicagoave,41.894958,-87.764902,60644
ashlandave&garfieldblvd,41.792822,-87.664429,60636
racineave&garfieldblvd,41.794228,-87.655073,60636
marshfieldave&59thst,41.786833,-87.666215,60636
damenave&59thst,41.78602,-87.674167,60636
desplainesst&kinziest,41.888716,-87.644448,60661
hoyneave&47thst,41.808227,-87.67718,60609
halstedst&rooseveltrd,41.867324,-87.648625,60607
ashlandave&mcdowellave,41.80887,-87.66454,60609
elizabethst&47thst,41.80839,-87.656526,60609
damenave&51stst,41.800908,-87.674684,60636
ashlandave&50thst,41.803023,-87.664699,60609
throopst&52ndst,41.799659,-87.657195,60609
seeleyave&garfieldblvd,41.794087,-87.675478,60609
racineave&61stst,41.783189,-87.654372,60636
ashlandave&63rdst,41.779374,-87.664843,60629
racineave&65thst,41.775393,-87.654308,60636
ashlandave&66thst,41.774074,-87.663815,60636
ashlandave&69thst,41.768726,-87.664069,60636
mayst&69thst,41.768938,-87.652934,60620
vincennesave&75thst,41.75797,-87.63121,60620
woodlawnave&75thst,41.75916,-87.595751,60619
evansave&75thst,41.75849,-87.60641,60649
vernonave&75thst,41.758361,-87.614138,60649
clintonst&rooseveltrd,41.867118,-87.641088,60607
statest&76thst,41.756971,-87.624621,60621
statest&79thst,41.750794,-87.624424,60619
vernonave&79thst,41.75094,-87.61379,60619
ellisave&83rdst,41.744123,-87.599034,60619
cottagegroveave&78thst,41.753174,-87.605026,60619
greenwoodave&79thst,41.751294,-87.597552,60619
stonyislandave&southchicagoave,41.751173,-87.585337,60649
bennettave&79thst,41.751785,-87.578496,60649
phillipsave&79thst,41.75182,-87.565211,60649
exchangeave&79thst,41.751731,-87.552812,60617
commercialave&83rdst,41.744615,-87.551208,60617
marshfieldave&cortlandst,41.916017,-87.668879,60622
phillipsave&83rdst,41.744531,-87.56506,60649
stonyislandave&82ndst,41.746559,-87.586005,60619
elmwoodave&austinst,42.025784,-87.684107,60202
valliproduce-evanstonplaza,42.039742,-87.699413,60202
dodgeave&churchst,42.048308,-87.698224,60201
centralstmetra,42.063598,-87.69873,60201
daytonst&northave,41.910578,-87.649422,60614
centralst&girardave,42.064313,-87.686152,60208
cottagegroveave&83rdst,41.743441,-87.604836,60619
mlkjrdr&83rdst,41.743116,-87.6148,60619
wabashave&83rdst,41.743316,-87.622849,60619
southchicagoave&83rdst,41.743921,-87.575225,60649
milwaukeeave&cuylerave,41.954468,-87.749594,60641
kilbournave&irvingparkrd,41.953733,-87.740569,60641
kilbournave&milwaukeeave,41.948818,-87.74002,60641
wabashave&rooseveltrd,41.867227,-87.625961,60605
knoxave&montroseave,41.960631,-87.745359,60641
halstedst&59thst,41.787539,-87.644874,60621
westernblvd&48thpl,41.805661,-87.683392,60609
